Model Name,Single Task,Tasks,Sampling Mode,final_loss_train,final_loss_dev,final_loss_test,final_acc_dev,final_acc_test,SemEval_final_acc_dev_2_class,SemEval_final_acc_dev_3_class,SemEval_final_acc_dev_4_class,SemEval_final_acc_test_2_class,SemEval_final_acc_test_3_class,SemEval_final_acc_test_4_class,Sentihood_strict__aspect_acc_dev,Sentihood_strict_aspect_acc_test,Sentihood_Sentiment_AUC,Sentihood_Aspect_AUC,Precision,Recall,F1_Score,Done?,UniqueID
xlnet-base-cased,SST-2,SST-2,sequential,0.07036265655104912,0.2171047840799604,0.2171047840799604,0.9472477064220184,0.9472477064220184,,,,,,,,,,,,,,Yes,xlnet-base-cased|SST-2|sequential
bert-base-uncased,SST-2,SST-2,sequential,0.03197983887610978,0.2856444610016687,0.2856444610016687,0.9288990825688074,0.9288990825688074,,,,,,,,,,,,,,Yes,bert-base-uncased|SST-2|sequential
xlnet-base-cased,IMDB,IMDB,sequential,0.08331635745023103,0.36201502495928656,0.36201502495928656,0.903,0.9052,,,,,,,,,,,,,,Yes,xlnet-base-cased|IMDB|sequential
bert-base-uncased,IMDB,IMDB,sequential,0.030795793152036368,0.4738229982837846,0.4738229982837846,0.8845,0.8845,,,,,,,,,,,,,,Yes,bert-base-uncased|IMDB|sequential
xlnet-base-cased,SST-2,"SST-2, IMDB",sequential,0.046525666925914866,0.24362652003765106,0.24362652003765106,0.9357798165137616,0.9357798165137616,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, IMDB|sequential"
xlnet-base-cased,IMDB,"SST-2, IMDB",sequential,0.00663155589916396,0.5674757648117935,0.5674757648117935,0.9023,0.90345,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, IMDB|sequential"
bert-base-uncased,SST-2,"SST-2, IMDB",sequential,0.029179167478817783,0.24419685559613366,0.24419685559613366,0.93348623853211,0.93348623853211,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, IMDB|sequential"
bert-base-uncased,IMDB,"SST-2, IMDB",sequential,0.0035940968846631858,0.5773332350993459,0.5773332350993459,0.8948,0.8901,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, IMDB|sequential"
xlnet-base-cased,SST-2,"SST-2, IMDB",random,0.0474886037097713,0.22273928352764674,0.22273928352764674,0.9472477064220184,0.9472477064220184,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, IMDB|random"
xlnet-base-cased,IMDB,"SST-2, IMDB",random,0.007148222875974807,0.5888271022446548,0.5888271022446548,0.9029,0.9045,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, IMDB|random"
bert-base-uncased,SST-2,"SST-2, IMDB",random,0.028905120985391806,0.2354292358670916,0.2354292358670916,0.9311926605504588,0.9311926605504588,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, IMDB|random"
bert-base-uncased,IMDB,"SST-2, IMDB",random,0.0036628478147734678,0.5865342334101472,0.5865342334101472,0.8918,0.88765,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, IMDB|random"
xlnet-base-cased,SST-2,SST-2,sequential,0.07036265655104912,0.2171047840799604,0.2171047840799604,0.9472477064220184,0.9472477064220184,,,,,,,,,,,,,,Yes,xlnet-base-cased|SST-2|sequential
bert-base-uncased,SST-2,SST-2,sequential,0.03197983887610978,0.2856444610016687,0.2856444610016687,0.9288990825688074,0.9288990825688074,,,,,,,,,,,,,,Yes,bert-base-uncased|SST-2|sequential
xlnet-base-cased,NER,NER,sequential,0.03928184194896275,0.045826271785279885,0.045826271785279885,0.9083076923076924,0.857804807413843,,,,,,,,,,,,,,Yes,xlnet-base-cased|NER|sequential
bert-base-uncased,NER,NER,sequential,0.01197245457750928,0.0459313619738588,0.0459313619738588,0.9255384615384616,0.8711265566174341,,,,,,,,,,,,,,Yes,bert-base-uncased|NER|sequential
xlnet-base-cased,SemEval_QA_B,SemEval_QA_B,sequential,0.031089998079902325,0.15099874538351682,0.15099874538351682,0.9235,0.9235,0.944254835039818,0.894141829393628,0.8565853658536585,0.944254835039818,0.894141829393628,0.8565853658536585,,,,,0.9233097880928356,0.8926829268292683,0.9077380952380952,Yes,xlnet-base-cased|SemEval_QA_B|sequential
bert-base-uncased,SemEval_QA_B,SemEval_QA_B,sequential,0.008626975167050318,0.15464068025611574,0.15464068025611574,0.9265,0.9265,0.9476678043230944,0.9013360739979444,0.8575609756097561,0.9476678043230944,0.9013360739979444,0.8575609756097561,,,,,0.9285714285714286,0.9004878048780488,0.9143140168400198,Yes,bert-base-uncased|SemEval_QA_B|sequential
xlnet-base-cased,Sentihood_QA_B,Sentihood_QA_B,sequential,0.03640847237027838,0.16080326833550565,0.16080326833550565,0.9278688524590164,0.935032894736842,,,,,,,,0.8324439701173959,0.950332945208982,0.9757193606562736,0.9540636042402828,0.8852459016393442,0.9183673469387756,Yes,xlnet-base-cased|Sentihood_QA_B|sequential
bert-base-uncased,Sentihood_QA_B,Sentihood_QA_B,sequential,0.02057322171581068,0.16439011315709318,0.16439011315709318,0.9360655737704918,0.9300986842105264,,,,,,,,0.8495197438633938,0.9620349146670736,0.9753258611283564,0.9650735294117648,0.860655737704918,0.9098786828422876,Yes,bert-base-uncased|Sentihood_QA_B|sequential
xlnet-base-cased,SST-2,"SST-2, NER",sequential,0.04728554858062861,0.2083309143781662,0.2083309143781662,0.9483944954128442,0.9483944954128442,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, NER|sequential"
xlnet-base-cased,NER,"SST-2, NER",sequential,0.004852911212382051,0.04629954843165671,0.04629954843165671,0.936923076923077,0.8751810020272227,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, NER|sequential"
bert-base-uncased,SST-2,"SST-2, NER",sequential,0.02972354491551145,0.2580559764589582,0.2580559764589582,0.9300458715596329,0.9300458715596329,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, NER|sequential"
bert-base-uncased,NER,"SST-2, NER",sequential,0.0027887750838935265,0.05837727896869184,0.05837727896869184,0.9243076923076924,0.8702577468867652,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, NER|sequential"
xlnet-base-cased,SST-2,"SST-2, NER",random,0.04744156517156525,0.20355498577867234,0.20355498577867234,0.94151376146789,0.94151376146789,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, NER|random"
xlnet-base-cased,NER,"SST-2, NER",random,0.0048769261117272275,0.04723879697040992,0.04723879697040992,0.932923076923077,0.8809730668983493,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, NER|random"
bert-base-uncased,SST-2,"SST-2, NER",random,0.029752833043730182,0.2659976141793387,0.2659976141793387,0.9288990825688074,0.9288990825688074,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, NER|random"
bert-base-uncased,NER,"SST-2, NER",random,0.0028934772268162322,0.05527005398359437,0.05527005398359437,0.9255384615384616,0.8685201274254272,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, NER|random"
xlnet-base-cased,SST-2,"SST-2, SemEval_QA_B",sequential,0.028829741063677156,0.2897956988641194,0.2897956988641194,0.93348623853211,0.93348623853211,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, SemEval_QA_B|sequential"
xlnet-base-cased,SemEval_QA_B,"SST-2, SemEval_QA_B",sequential,0.020355771884999742,0.14302182372564534,0.14302182372564534,0.92425,0.92425,0.9544937428896472,0.8982528263103803,0.864390243902439,0.9544937428896472,0.8982528263103803,0.864390243902439,,,,,0.9110671936758892,0.8995121951219512,0.905252822778596,Yes,"xlnet-base-cased|SST-2, SemEval_QA_B|sequential"
bert-base-uncased,SST-2,"SST-2, SemEval_QA_B",sequential,0.014996164779260253,0.3039214142731258,0.3039214142731258,0.9208715596330276,0.9208715596330276,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, SemEval_QA_B|sequential"
bert-base-uncased,SemEval_QA_B,"SST-2, SemEval_QA_B",sequential,0.007660988716615692,0.13605069092943506,0.13605069092943506,0.92825,0.92825,0.9544937428896472,0.8961973278520041,0.864390243902439,0.9544937428896472,0.8961973278520041,0.864390243902439,,,,,0.925925925925926,0.902439024390244,0.9140316205533596,Yes,"bert-base-uncased|SST-2, SemEval_QA_B|sequential"
xlnet-base-cased,SST-2,"SST-2, SemEval_QA_B",random,0.02789321782872256,0.21510655113628926,0.21510655113628926,0.9426605504587156,0.9426605504587156,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, SemEval_QA_B|random"
xlnet-base-cased,SemEval_QA_B,"SST-2, SemEval_QA_B",random,0.01821956004090446,0.13633086683323525,0.13633086683323525,0.927,0.927,0.9533560864618884,0.9003083247687564,0.8634146341463415,0.9533560864618884,0.9003083247687564,0.8634146341463415,,,,,0.9262626262626262,0.8946341463414634,0.9101736972704716,Yes,"xlnet-base-cased|SST-2, SemEval_QA_B|random"
bert-base-uncased,SST-2,"SST-2, SemEval_QA_B",random,0.014094007409650666,0.2950843764202936,0.2950843764202936,0.9288990825688074,0.9288990825688074,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, SemEval_QA_B|random"
bert-base-uncased,SemEval_QA_B,"SST-2, SemEval_QA_B",random,0.008391726907738624,0.1284077639578824,0.1284077639578824,0.9295,0.9295,0.9476678043230944,0.8951695786228159,0.8585365853658536,0.9476678043230944,0.8951695786228159,0.8585365853658536,,,,,0.9288537549407114,0.9170731707317074,0.9229258713794796,Yes,"bert-base-uncased|SST-2, SemEval_QA_B|random"
xlnet-base-cased,SST-2,"SST-2, SemEval_QA_B",prop,0.025581547318243632,0.25548878312110895,0.25548878312110895,0.9392201834862384,0.9392201834862384,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, SemEval_QA_B|prop"
xlnet-base-cased,SemEval_QA_B,"SST-2, SemEval_QA_B",prop,0.011328277113167392,0.1721849301918914,0.1721849301918914,0.9309999999999999,0.9309999999999999,0.9579067121729238,0.9126413155190134,0.8751219512195122,0.9579067121729238,0.9126413155190134,0.8751219512195122,,,,,0.9241516966067864,0.9034146341463416,0.9136655155402073,Yes,"xlnet-base-cased|SST-2, SemEval_QA_B|prop"
bert-base-uncased,SST-2,"SST-2, SemEval_QA_B",prop,0.01563637409061332,0.2610979293073927,0.2610979293073927,0.9266055045871558,0.9266055045871558,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, SemEval_QA_B|prop"
bert-base-uncased,SemEval_QA_B,"SST-2, SemEval_QA_B",prop,0.00542435336113946,0.1587776484792447,0.1587776484792447,0.93125,0.93125,0.9590443686006824,0.8961973278520041,0.8624390243902439,0.9590443686006824,0.8961973278520041,0.8624390243902439,,,,,0.9380710659898476,0.9014634146341464,0.9194029850746268,Yes,"bert-base-uncased|SST-2, SemEval_QA_B|prop"
